,u,i,ts,label,idx
0,6,2,0,0,1
1,6,5,0,0,2
2,1,12,0,0,3
3,4,3,0,0,4
4,11,13,0,0,5
5,11,10,0,0,6
6,7,5,0,0,7
7,2,17,0,0,8
8,2,16,0,0,9
9,17,2,0,0,10
10,17,1,0,0,11
11,17,10,0,0,12
12,17,8,0,0,13
13,17,3,0,0,14
14,14,3,0,0,15
15,14,18,0,0,16
16,10,1,0,0,17
17,10,6,0,0,18
18,10,17,0,0,19
19,10,8,0,0,20
20,10,19,0,0,21
21,10,2,0,0,22
22,10,3,0,0,23
23,4,20,1,0,24
24,20,4,1,0,25
25,5,1,1,0,26
26,5,6,1,0,27
27,5,7,1,0,28
28,1,5,1,0,29
29,6,4,1,0,30
30,4,6,1,0,31
31,2,4,1,0,32
32,14,21,1,0,33
33,14,11,1,0,34
34,11,14,1,0,35
35,11,22,1,0,36
36,22,11,1,0,37
37,14,16,1,0,38
38,4,23,2,0,39
39,23,4,2,0,40
40,24,6,2,0,41
41,11,1,2,0,42
42,7,26,2,0,43
43,26,7,2,0,44
44,24,1,2,0,45
45,1,24,2,0,46
46,1,26,2,0,47
47,26,1,2,0,48
48,26,11,2,0,49
49,11,26,2,0,50
50,6,7,3,0,51
51,7,6,3,0,52
52,1,14,3,0,53
53,1,23,3,0,54
54,23,1,3,0,55
55,27,6,3,0,56
56,1,11,3,0,57
57,28,29,3,0,58
58,29,28,3,0,59
59,27,1,3,0,60
60,14,1,3,0,61
61,8,1,3,0,62
62,7,22,3,0,63
63,1,16,4,0,64
64,29,32,4,0,65
65,32,29,4,0,66
66,30,33,4,0,67
67,30,7,4,0,68
68,30,32,4,0,69
69,32,30,4,0,70
70,18,14,4,0,71
71,18,15,4,0,72
72,28,34,4,0,73
73,34,28,4,0,74
74,35,1,4,0,75
75,11,7,4,0,76
76,7,11,4,0,77
77,22,36,5,0,78
78,36,22,5,0,79
79,22,37,5,0,80
80,37,22,5,0,81
81,33,30,5,0,82
82,33,38,5,0,83
83,38,33,5,0,84
84,33,39,5,0,85
85,39,33,5,0,86
86,1,39,5,0,87
87,39,1,5,0,88
88,7,3,5,0,89
89,28,31,5,0,90
90,31,28,5,0,91
91,28,17,5,0,92
92,17,28,5,0,93
93,7,28,5,0,94
94,28,7,5,0,95
95,7,38,5,0,96
96,38,7,5,0,97
97,7,40,5,0,98
98,40,7,5,0,99
99,22,7,6,0,100
100,4,42,6,0,101
101,30,17,6,0,102
102,17,30,6,0,103
103,4,44,6,0,104
104,44,4,6,0,105
105,44,16,6,0,106
106,44,2,6,0,107
107,27,47,6,0,108
108,47,27,6,0,109
109,41,1,6,0,110
110,1,41,6,0,111
111,4,48,6,0,112
112,48,4,6,0,113
113,17,7,6,0,114
114,7,16,7,0,115
115,27,50,7,0,116
116,27,51,7,0,117
117,30,50,7,0,118
118,50,30,7,0,119
119,50,27,7,0,120
120,1,52,7,0,121
121,52,1,7,0,122
122,7,21,7,0,123
123,21,7,7,0,124
124,4,53,7,0,125
125,1,54,7,0,126
126,54,1,7,0,127
127,31,55,7,0,128
128,49,46,7,0,129
